firstdate;marketcode;segmentcode;isincode;description;currencycode;minimumlot;status;issuedate;issueprice;redemptiondate;redemptionprice;
07/05/2026;EUROTLX;EUROTLX;XS3318840223;Lottomaticag Fx 4.625% Apr32 Call Eur;EUR;100000;;;;30/04/2032;;
07/05/2026;EUROTLX;EUROTLX;XS2433136194;Israel Fx 0.625% Jan32 Eur;EUR;1000;;;;18/01/2032;;
07/05/2026;EUROTLX;EUROTLX;XS1936101291;Israel Fx 2.5% Jan49 Eur;EUR;1000;;;;16/01/2049;;
07/05/2026;EUROTLX;EUROTLX;XS1936100483;Israel Fx 1.5% Jan29 Eur;EUR;1000;;;;16/01/2029;;
07/05/2026;EUROTLX;EUROTLX;US46513JB593;Israel Fx 4.5% Apr20 Usd;USD;200000;;;;03/04/2120;;
07/05/2026;EUROTLX;EUROTLX;US066716AB78;Cb Tunisia Fx 8.25% Sep27 Usd;USD;1000;;;;19/09/2027;;
05/05/2026;EUROTLX;EUROTLX;XS3341155771;Barclaysbank Indlink May38 Autocall Eur;EUR;1000;;;;05/05/2038;;
05/05/2026;EUROTLX;EUROTLX;XS3199026785;Deutschebank Mc May31 Eur;EUR;1000;;;;05/05/2031;;
04/05/2026;EUROTLX;EUROTLX;XS3349823941;Gg12 Spa Fx 6.25% Apr33 Call Eur;EUR;100000;;;;28/04/2033;;
04/05/2026;EUROTLX;EUROTLX;IT0005706871;Isp Mc Apr36 Usd;USD;2000;;;;29/04/2036;;
04/05/2026;MOT;EUROMOT;XS3362255237;Italy Fr Oct41 Eur;EUR;100000;Senior;30/04/2026;;30/10/2041;;
04/05/2026;MOT;EUROMOT;IT0005706871;Isp Mc Apr36 Usd;USD;2000;Senior;29/04/2026;;29/04/2036;;
30/04/2026;EUROTLX;EUROTLX;XS3323924251;Bnpparibasis Fr Apr30 Eur;EUR;1000;;;;24/04/2030;;
30/04/2026;EUROTLX;EUROTLX;XS3305127337;Deutschebank Oc Ind Link Apr31 Eur;EUR;1000;;;;30/04/2031;;
30/04/2026;EUROTLX;EUROTLX;XS3199545545;Bnpparibasis Mc Apr31 Eur;EUR;1000;;;;16/04/2031;;
30/04/2026;EUROTLX;EUROTLX;IT0005707085;Bancasellaho Mc Apr31 Call Eur;EUR;100000;;;;28/04/2031;;
30/04/2026;MOT;EUROMOT;EU000A4ETUZ1;Bei Fx 2.625% Oct29 Eur;EUR;1000;Senior;28/04/2026;;15/10/2029;;
30/04/2026;MOT;BTP;IT0005707614;Btp Fx 3.15% Jun31 Eur;EUR;1000;Senior;04/05/2026;;01/06/2031;;
29/04/2026;EUROTLX;EUROTLX;IT0005706244;Bmps Fx 3.059% Apr29 Est Covered Cal Eur;EUR;100000;;;;29/04/2029;;
29/04/2026;MOT;EUROMOT;DE000BU22130;Schatz Fx 2.5% Jun28 Eur;EUR;1;Senior;23/04/2026;;14/06/2028;;
28/04/2026;EUROTLX;EUROTLX;IT0005707291;Unicredit Spa Fr Eur3m+0.35% Oct29 Eur;EUR;150000;;;;27/10/2029;;
27/04/2026;MOT;EUROMOT;XS3344416287;Kfw Green Fx 2.875% Jun31 Eur;EUR;1000;Senior;16/04/2026;;30/06/2031;;
27/04/2026;MOT;EUROMOT;US298785KR65;Bei Fx 3.75% May29 Usd;USD;1000;Senior;21/04/2026;;15/05/2029;;
27/04/2026;MOT;EUROMOT;FI4000602891;Finland Fx 3.35% Sep36 Eur;EUR;1000;Senior;16/04/2026;;15/09/2036;;
24/04/2026;MOT;EUROMOT;FR0014017Z10;Oat Green Fx 3.8% Jun37 Eur;EUR;1;Senior;25/06/2025;;25/06/2037;;
24/04/2026;MOT;EUROMOT;EU000A4ES497;Eu Safe Fx 4% Oct46 Eur;EUR;1;Senior;21/04/2026;;12/10/2046;;
23/04/2026;EUROTLX;EUROTLX;XS3337015450;Sg Issuer Mc Ind Link Apr36 Call Eur;EUR;1000;;;;23/04/2036;;
23/04/2026;EUROTLX;EUROTLX;US22541LAE39;Ubs Americas Fx 7.125% Jul32 Call Usd;USD;1000;;;;15/07/2032;;
22/04/2026;EUROTLX;EUROTLX;US38141GFD16;Gs Group Fx 6.75% Oct37 T2 Call Usd;USD;2000;;;;01/10/2037;;
22/04/2026;EUROTLX;EUROTLX;US172967HA25;Citigroup  Fx 6.675% Sep43 T2 Usd;USD;1000;;;;13/09/2043;;
21/04/2026;EUROTLX;EUROTLX;US38141GGM06;Gs Group Fx 6.25% Feb41 Usd;USD;2000;;;;01/02/2041;;
21/04/2026;EUROTLX;EUROTLX;US404280AM17;Hsbc Holdings Fx 6.1% Jan42 Usd;USD;2000;;;;14/01/2042;;
20/04/2026;EUROTLX;EUROTLX;IT0005704900;Unicredit Spa Mc Apr32 Call Eur;EUR;150000;;;;16/04/2032;;
20/04/2026;MOT;EUROMOT;XS3339839154;Ebrd Zc Apr33 Try;TRY;10000;Senior;14/04/2026;;14/04/2033;;
20/04/2026;MOT;BTP;IT0005706285;Btp Fx 3.8% Jul36 Eur;EUR;1000;Senior;22/04/2026;;01/07/2036;;
